company,year,award_category,size_category,company_id
23 Degrees Coffee Roasters,2022,Governance,0 Employees,001C000001bU3egIAC
Grainstone,2022,Environment,0 Employees,0013b00001rFyutAAC
Harvey,2022,Community,0 Employees,0013b00001ooEiTAAU
Mud Environmental,2022,Environment,0 Employees,001C000001LNNkSIAX
Ozeano Vision,2022,Community,0 Employees,0013b00001s7MqwAAE
RePlated,2022,Environment,0 Employees,0013b00001o3u7pAAA
Reef Ecologic,2022,Environment,0 Employees,0013b00001rFdBLAA0
Seated Massage,2022,Governance,0 Employees,001C000001P8MgDIAV
StartSomeGood,2022,Customers,0 Employees,001C000001FJDkFIAX
i=Change,2022,Customers,0 Employees,001C000001D6Yc3IAF
Ape2o Limited,2022,Community,0 Employees,0013b00001nEztsAAC
Business On Purpose,2022,Governance,0 Employees,0013b00001rIXK3AAO
CRANBOURN® (Holdings) Limited,2022,Governance,0 Employees,0013b00001nF3V2AAK
Clear,2022,Environment,0 Employees,0013b00001uNCMoAAO
Ellie Air,2022,Community,0 Employees,0013b00001qFWYEAA4
Ethical Bedding,2022,Governance,0 Employees,0013b00001vKooDAAS
Freestar Drinks Ltd,2022,Environment,0 Employees,001C000001eXmdgIAC
HIGHR Collective,2022,Governance,0 Employees,0013b00001vL5MWAA0
Journeys With Purpose,2022,Environment,0 Employees,0013b00001vOXe0AAG
Oliver Co. London,2022,Environment,0 Employees,0013b00001srtyvAAA
Penleaf Limited,2022,Community; Governance,0 Employees,001C000001nArvQIAS
Shakti Ellenwood Precious Jewellery,2022,Community,0 Employees,0013b00001uNq0fAAC
Spruce,2022,Governance,0 Employees,0013b00001qFoScAAK
And The People,2022,Customers,0 Employees,0013b00001tAioBAAS
Circular Investment BV,2022,Customers,0 Employees,0013b00001p1x0MAAQ
Doing Business Doing Good,2022,Community; Governance,0 Employees,0013b00001qHEeBAAW
Himalayan Made,2022,Community,0 Employees,0013b00001o3pa6AAA
LSTP,2022,Governance,0 Employees,0013b00001ooRhTAAU
OXIOUS BV,2022,Community,0 Employees,0013b00001tBOHbAAO
Organizzare Italia S.R.L. S.B.,2022,Governance,0 Employees,001C000001UlfR2IAJ
SEAY Srl,2022,Environment; Governance,0 Employees,0013b00001qEWBXAA4
Vain Dane Athletic,2022,Community; Environment,0 Employees,0013b00001ssBZlAAM
WeRFuture srl,2022,Environment,0 Employees,0013b00001qp1bnAAA
ecoBirdy,2022,Environment,0 Employees,001C000001mVsW6IAK
Greenvest,2022,Customers,0 Employees,0013b00001p1sSjAAI
Helping Habit PBC,2022,Governance,0 Employees,001C000001a1wquIAA
Insurance Masters NW,2022,Governance,0 Employees,001C000001dgasFIAQ
Justo's Plant Based Dips,2022,Governance,0 Employees,0013b00001uMoyjAAC
"Karner Blue Capital, LLC",2022,Customers,0 Employees,001C000001iupdlIAA
Law Office Of Lara Pearson & Brand Geek,2022,Governance,0 Employees,001C0000010g1qCIAQ
Liquid Blue,2022,Governance,0 Employees,0013b00001rGf9wAAC
MADE OF,2022,Governance,0 Employees,001C000001XRLrpIAH
"Meaningful Organizational Design, Inc.",2022,Community,0 Employees,001C000000yj2BHIAY
NEEV,2022,Community,0 Employees,001C0000018vdwBIAQ
Nourish Cold Pressed Juice,2022,Community,0 Employees,001C000001a20hmIAA
Petaluma,2022,Environment,0 Employees,0013b00001p0ZuBAAU
Portola Creek Capital,2022,Customers,0 Employees,001C000001eXDvdIAG
Prokanga,2022,Governance,0 Employees,001C000001lPDxFIAW
"Rain Water Solutions, Inc",2022,Environment,0 Employees,0018000000WEgqqAAD
Regenrus,2022,Community; Governance,0 Employees,0013b00001uPZ6lAAG
Rockridge Venture Law®,2022,Community,0 Employees,001C000001XtGtgIAF
SafePorter,2022,Governance,0 Employees,0013b00001qos2aAAA
Savannah Consulting,2022,Community,0 Employees,001C000001NOJyxIAH
Shift Workspaces,2022,Governance,0 Employees,001C000001P5GyXIAV
Super Humane,2022,Customers,0 Employees,001C000001CfRLuIAN
The Community Company,2022,Customers,0 Employees,0013b00001ssDJ2AAM
The TAN2000 International Regulatory Corporation,2022,Governance,0 Employees,001C000001I1OYUIA3
Thread Talk,2022,Community,0 Employees,001C000001eZXkVIAW
Tillak,2022,Community,0 Employees,001C000001Z6opyIAB
Vista Global Coaching & Consulting LLC,2022,Customers,0 Employees,001C000000v9gzMIAQ
"Y8 STUDIO, Inc.",2022,Environment,0 Employees,001C000001ag2TQIAY
ZYN,2022,Community,0 Employees,001C000001dfMDFIA2
Zen Business Consulting,2022,Governance,0 Employees,001C000001WEIlfIAH
do good well consulting,2022,Community,0 Employees,001C000001NvViPIAV
stubble + 'stache,2022,Community,0 Employees,0013b00001qHuDIAA0
"Frogsong Farm, LLC",2022,Environment,0 Employees,001C000001YmTlnIAF
Get Lagos Now,2022,Community,0 Employees,0013b00001tBGmNAAW
Good Capital Investment Group,2022,Customers,0 Employees,0013b00001qHDGNAA4
"Green Retirement, Inc.",2022,Customers,0 Employees,001C000000u2ebfIAA
Ecotone Software Consulting Inc.,2022,Governance,0 Employees,001C000001Ul3IgIAJ
"Envest Asset Management, LLC",2022,Customers,0 Employees,001C000001XuByiIAF
"Etho Capital, LLC",2022,Customers,0 Employees,001C000001Qz7JoIAJ
Fair Planet Advisors,2022,Customers,0 Employees,0013b00001u8cWYAAY
Food Insight Group,2022,Customers,0 Employees,001C000001eElN0IAK
Frisky Cow Farm Products,2022,Community,0 Employees,001C000001kBOXIIA4
Conscious Brands,2022,Governance,0 Employees,001C000000yjWhsIAE
Conspiracy of Love,2022,Governance,0 Employees,0013b00001p0hVvAAI
Core Capital Management,2022,Customers,0 Employees,001C000000r6CgXIAU
Drawdown Management,2022,Customers,0 Employees,001C000001iwoy8IAA
Arueira Ambiental,2022,Environment,0 Employees,001C000001geFrjIAE
Criando Consultoria,2022,Customers,0 Employees,001C0000019Jp7sIAC
Nodo Chile,2022,Customers,0 Employees,001C000001afqFpIAI
Gestión B,2022,Environment,0 Employees,001C000001kA8VgIAK
Handen ConsultorÃ­a,2022,Customers,0 Employees,001C000001k9J6pIAE
KOMPOST,2022,Environment,0 Employees,0013b00001vNFBpAAO
PLANTUC projetos Socioambientais,2022,Customers,0 Employees,0013b00001qFV9kAAG
Rising Sun Chile,2022,Environment,0 Employees,001C000001dfbNoIAI
SICLO RURAL,2022,Environment,0 Employees,001C000001bVbLMIA0
Selletiva,2022,Environment,0 Employees,001C000001iwiSBIAY
Sense-Lab,2022,Customers,0 Employees,001C000001eWka8IAC
Soqtapata,2022,Environment,0 Employees,0013b00001nEb9JAAS
TICA,2022,Governance,0 Employees,0013b00001rFndEAAS
The Key - Prosperar na Nova Economia,2022,Customers,0 Employees,001C000001YGlewIAD
Welight,2022,Customers,0 Employees,001C000001YsAGBIA3
Yunus Negócios Sociais Brasil,2022,Customers,0 Employees,001C000001XuTARIA3
"7group, LLC",2022,Environment,0 Employees,001C000000v8YUuIAM
Animal Experience International,2022,Environment,0 Employees,001C0000013EpnyIAC
Apiary Studio,2022,Community,0 Employees,001C000001eYjvMIAS
"Arcadia Technology, Inc.",2022,Environment,0 Employees,001C000001XQbIRIA1
BeyondAdmissions?,2022,Governance,0 Employees,001C000001eWbuZIAS
Big Sky Recycling,2022,Community; Environment,0 Employees,0013b00001nEvusAAC
CSRHub LLC,2022,Governance,0 Employees,001C000000r5aKlIAI
Climate Positive Consulting,2022,Environment,0 Employees,0013b00001qp3YpAAI
Connective Impact,2022,Customers,0 Employees,001C0000019rq76IAA
Kuza Biashara Limited,2022,Customers,1-9 Employees,001C000001gd6WPIAY
Adara Partners (Australia) Pty Limited,2022,Community,1-9 Employees,001C000001VNRpwIAH
AssuranceLab,2022,Governance,1-9 Employees,0013b00001uNDt8AAG
BEAR,2022,Environment,1-9 Employees,001C000001YmsuJIAR
Banqer,2022,Customers,1-9 Employees,001C000001deIdtIAE
Chia Sisters,2022,Environment,1-9 Employees,0013b00001p27LtAAI
Coconut Bowls,2022,Environment,1-9 Employees,001C000001iEVaTIAW
D3 Digital Limited,2022,Workers,1-9 Employees,001C000001mVW7FIAW
ENGEO (Australia) Pty Ltd,2022,Workers,1-9 Employees,0013b00001rH4reAAC
Eat Me Chutneys,2022,Community,1-9 Employees,001C0000018xfGOIAY
Emaho Trees,2022,Environment,1-9 Employees,001C000001eWWt0IAG
GOGO events Pty Ltd,2022,Community,1-9 Employees,001C000001Iob5gIAB
Good Environmental Choice Australia (GECA),2022,Governance,1-9 Employees,001C000001P5l3mIAB
Good Stuff Global,2022,Community,1-9 Employees,0013b00001rGZMOAA4
Goodtel Communications Pty Limited,2022,Community,1-9 Employees,0013b00001twtQWAAY
Hart to Hart Counselling Pty Ltd,2022,Customers,1-9 Employees,0013b00001wsGRYAA2
Hepburn Energy,2022,Community; Environment,1-9 Employees,001C000001Q39QaIAJ
Little Yellow Bird,2022,Community,1-9 Employees,001C000001Q4d4aIAB
Lonsdale Solutions,2022,Workers,1-9 Employees,0013b00001qFj9gAAC
Miei Group Pty Ltd,2022,Community,1-9 Employees,001C000001XQbIqIAL
Minimum Wines,2022,Community; Environment,1-9 Employees,0013b00001qDnlCAAS
Nutricare Holdings Limited,2022,Environment,1-9 Employees,001C000001iEdKkIAK
Pathfinder,2022,Customers,1-9 Employees,0013b00001nDtF0AAK
RooCreate,2022,Environment,1-9 Employees,0013b00001o47GhAAI
Start Broadband,2022,Community,1-9 Employees,001C000001gji1pIAA
The Farm,2022,Environment,1-9 Employees,001C000001iuah4IAA
The Benefit Consultants,2022,Community,1-9 Employees,001C000001XvfQPIAZ
Verdecon,2022,Environment,1-9 Employees,001C000001YH4UhIAL
Your Call Whistleblowing Solutions,2022,Customers,1-9 Employees,001C000001HHOV9IAP
OrgBetter Consulting Corporation,2022,Community,1-9 Employees,001C000001Q63yFIAR
Make The Change Pte Ltd,2022,Customers,1-9 Employees,0013b00001oo8hRAAQ
Right People Renewable Energy,2022,Environment,1-9 Employees,001C000001Jd4eIIAR
HYGINOVA,2022,Environment,1-9 Employees,0013b00001p1d3uAAA
PIE Strategy Limited,2022,Workers,1-9 Employees,001C000001cgqjdIAA
&SISTERS Ltd,2022,Community,1-9 Employees,0013b00001vJRolAAG
400 Communications Limited,2022,Workers,1-9 Employees,001C000001geDZTIA2
918 Coffee Co,2022,Environment,1-9 Employees,0013b00001tAl6bAAC
ARK coworking,2022,Community,1-9 Employees,001C000001mVorGIAS
Adelio Partners Limited,2022,Workers,1-9 Employees,0013b00001tASwsAAG
Anglia Print,2022,Environment,1-9 Employees,0013b00001qEcl7AAC
B-People Group Ltd,2022,Workers; Governance,1-9 Employees,0013b00001qFaKXAA0
BEHAVIOUR.XYZ LTD,2022,Governance,1-9 Employees,0013b00001p3G0TAAU
BecomingX,2022,Community,1-9 Employees,0013b00001qEHwaAAG
Bequest,2022,Workers,1-9 Employees,0013b00001vNzlYAAS
Beyond Governance Limited,2022,Governance,1-9 Employees,0013b00001qoykhAAA
Beyond Green,2022,Workers,1-9 Employees,001C000001gjavSIAQ
Big Lemon,2022,Workers,1-9 Employees,0013b00001p3jAkAAI
Brewgooder,2022,Community,1-9 Employees,001C000001iueUAIAY
Builders Union,2022,Workers,1-9 Employees,001C000001fhdObIAI
Cap Equity Advisors,2022,Governance,1-9 Employees,001C000001iEKz9IAG
Capsule,2022,Workers,1-9 Employees,0013b00001vN1xiAAC
Carbn,2022,Governance,1-9 Employees,0013b00001vPXxdAAG
Carbon Gold Ltd,2022,Environment,1-9 Employees,001C000001eXiMVIA0
Cedita,2022,Workers,1-9 Employees,0013b00001vQGtSAAW
Circl,2022,Customers,1-9 Employees,0013b00001rGmvsAAC
Club Soda,2022,Governance,1-9 Employees,001C000001iu6bEIAQ
Connected Asset Management,2022,Workers,1-9 Employees,0013b00001qEb5GAAS
Dark Woods Coffee ltd,2022,Community,1-9 Employees,001C000001jfBHQIA2
Do Nation,2022,Governance,1-9 Employees,001C000001Q3segIAB
Enviral Ltd,2022,Governance,1-9 Employees,0013b00001p484MAAQ
Epic Impact Ltd,2022,Governance,1-9 Employees,0013b00001nEJ69AAG
FUTUREPROOF TECH LTD,2022,Workers,1-9 Employees,0013b00001vJZDoAAO
Fifty Eight,2022,Customers; Workers; Governance,1-9 Employees,001C000001GsWoHIAV
Forestreet Ltd,2022,Governance,1-9 Employees,0013b00001ssGEDAA2
Fusion Associates,2022,Workers,1-9 Employees,0013b00001qFoUdAAK
Giki,2022,Governance,1-9 Employees,0013b00001qowTpAAI
GoEthical Marketplace Ltd,2022,Governance,1-9 Employees,0013b00001uONreAAG
Green Salon Collective,2022,Governance,1-9 Employees,0013b00001qoGc6AAE
Harvest London,2022,Environment,1-9 Employees,0013b00001o3rNeAAI
Homethings,2022,Environment,1-9 Employees,0013b00001qHhRUAA0
Inardua Consulting Limited,2022,Workers,1-9 Employees,0013b00001s7lWMAAY
Investment Tribe,2022,Governance,1-9 Employees,0013b00001tAyi2AAC
Kin&Co,2022,Governance,1-9 Employees,001C000001Z8WXdIAN
Lighthouse,2022,Community,1-9 Employees,0013b00001uN12uAAC
Maanch,2022,Governance,1-9 Employees,001C000001ithV0IAI
ARS s.r.l.,2022,Workers,1-9 Employees,001C000001Xui6MIAR
ABURY Collection,2022,Community,1-9 Employees,001C000001WCjbtIAD
ALBERGO ETICO THE FIRST IN ROME,2022,Workers,1-9 Employees,0013b00001vPZr6AAG
Made for Life Organics Ltd,2022,Community,1-9 Employees,001C000001a2TaxIAE
Madlug CIC,2022,Community,1-9 Employees,0013b00001vMscaAAC
Mama Bamboo Ltd,2022,Environment,1-9 Employees,0013b00001oobhKAAQ
Matchable Ltd,2022,Governance,1-9 Employees,0013b00001rFHBEAA4
Mesh Energy Ltd,2022,Workers,1-9 Employees,0013b00001tyYWtAAM
Monarc Jewellery Limited,2022,Environment,1-9 Employees,0013b00001vNQ88AAG
Nc'nean Distillery,2022,Environment,1-9 Employees,001C000001jfYmBIAU
Neo,2022,Workers,1-9 Employees,001C000001MNDCRIA5
One Tribe,2022,Governance,1-9 Employees,0013b00001nExIHAA0
Original Consultants Ltd,2022,Governance,1-9 Employees,0013b00001u88zGAAQ
PayCaptain,2022,Workers; Governance,1-9 Employees,0013b00001qH4SuAAK
People and Transformational HR Ltd,2022,Governance,1-9 Employees,0013b00001qFbCKAA0
Pluto,2022,Workers; Governance,1-9 Employees,0013b00001qojWYAAY
Profit Impact,2022,Workers,1-9 Employees,0013b00001rFyqXAAS
Public.,2022,Customers,1-9 Employees,001C000001UieddIAB
Rationale,2022,Governance,1-9 Employees,0013b00001qFcvVAAS
Reconome Technologies Ltd.,2022,Environment,1-9 Employees,001C000001nj5HoIAI
The Forward Institute,2022,Workers,1-9 Employees,001C000001TYZluIAH
Risk Evolves,2022,Workers,1-9 Employees,001C000001R094sIAB
RiskSave Technologies,2022,Workers,1-9 Employees,0013b00001uM6HVAA0
SMARTER,2022,Governance,1-9 Employees,0013b00001tAvKXAA0
Saboteur Limited,2022,Workers,1-9 Employees,0013b00001srxUFAAY
Savo Project Developers,2022,Workers; Governance,1-9 Employees,0013b00001uMx4JAAS
Seep Living Ltd,2022,Environment,1-9 Employees,0013b00001t8TCVAA2
Serenity Technologies Ltd.,2022,Governance,1-9 Employees,0013b00001qEIzrAAG
Snowball,2022,Governance,1-9 Employees,0013b00001p1Gb2AAE
Social Good Connect,2022,Governance,1-9 Employees,0013b00001qoGxiAAE
Steenbergs Limited,2022,Environment,1-9 Employees,0013b00001nEYWyAAO
Stress Matters,2022,Governance,1-9 Employees,0013b00001uPYuBAAW
Tamweel Capital Ltd,2022,Governance,1-9 Employees,0013b00001uNutkAAC
The Beeswax Wrap Company Ltd,2022,Environment,1-9 Employees,001C000001iDXNhIAO
The Big Sky,2022,Environment,1-9 Employees,0013b00001uNu2hAAC
The Gut Stuff Limited,2022,Governance,1-9 Employees,0013b00001tBZDvAAO
The Neighbourhood Group Ltd,2022,Governance,1-9 Employees,0013b00001vL85mAAC
The People Experience Hub,2022,Workers,1-9 Employees,0013b00001p1TL1AAM
Tribeology Ltd,2022,Workers,1-9 Employees,0013b00001rH2ZJAA0
Trinetra Investment Management LLP,2022,Customers; Governance,1-9 Employees,0013b00001nECdUAAW
Tusko,2022,Workers,1-9 Employees,0013b00001srcPLAAY
Veo,2022,Workers,1-9 Employees,0013b00001p1AwUAAU
Volans,2022,Governance,1-9 Employees,001C0000012e06vIAA
XeroE Ltd,2022,Governance,1-9 Employees,0013b00001nF6IdAAK
Y.O.U Underwear,2022,Community; Environment,1-9 Employees,0013b00001rG9zvAAC
Zebra Accountants Ltd,2022,Workers,1-9 Employees,0013b00001vLrbaAAC
f1 recruitment ltd,2022,Governance,1-9 Employees,001C000001YmjSrIAJ
myHappymind,2022,Governance,1-9 Employees,0013b00001tC0ODAA0
"3Sisters Sustainable Management, Inc",2022,Customers,1-9 Employees,001C000000myJgWIAU
Griswold and Griswold Insurance Agency,2022,Workers,1-9 Employees,001C000000v9xTCIAY
Happy City Lab. Inc.,2022,Workers,1-9 Employees,0013b00001p27QKAAY
"Haven Ventures, Inc.",2022,Workers,1-9 Employees,001C000001eZFXvIAO
Hello World,2022,Workers,1-9 Employees,0013b00001t8IYFAA2
High Park Brewery,2022,Community,1-9 Employees,001C000001N5PbRIAV
Hypenotic,2022,Workers,1-9 Employees,001C000000q8A4dIAE
Imagine Deliver,2022,Community,1-9 Employees,001C000001iwuZCIAY
Inesscents Aromatic Botanicals,2022,Environment,1-9 Employees,001C000000rqhwDIAQ
3x5 Partners,2022,Workers,1-9 Employees,001C000001Z6oQYIAZ
9b Corp,2022,Governance,1-9 Employees,0013b00001qogsxAAA
"AES Solar ( Advanced Energy Solutions Group, Inc )",2022,Environment,1-9 Employees,0013b00001p3eZzAAI
Aether Diamonds,2022,Environment,1-9 Employees,0013b00001tBAs6AAG
"Agents and Corporations, Inc. (trading as IncNow)",2022,Governance,1-9 Employees,001C000001k8gFgIAI
Area 2 Farms,2022,Environment,1-9 Employees,0013b00001uLrcZAAS
Artrepreneur,2022,Workers,1-9 Employees,0013b00001vOaP9AAK
Avenue,2022,Community; Workers,1-9 Employees,001C000001af0pQIAQ
"Bainbridge Vineyards, LLC",2022,Environment,1-9 Employees,001C000001UBa8bIAD
Blue Beautifly,2022,Community,1-9 Employees,001C000001MZpVLIA1
Jelt,2022,Community,1-9 Employees,001C000001bTLapIAG
Neighborhood Sun,2022,Environment,1-9 Employees,001C000001GdyRuIAJ
"Nia Impact Advisors, LLC",2022,Customers; Governance,1-9 Employees,001C000001Xdz07IAB
Kinvolved,2022,Customers; Governance,1-9 Employees,001C000000zl3izIAA
Kotmo,2022,Community,1-9 Employees,001C000001WvNfBIAV
LIFT Economy,2022,Workers,1-9 Employees,001C000001Cdt4IIAR
"Nohbo, Inc.",2022,Environment,1-9 Employees,0013b00001vPkrKAAS
LM & Associates Consulting Inc.,2022,Governance,1-9 Employees,0013b00001u53VmAAI
LineSync Architecture,2022,Community,1-9 Employees,001C000000ykpMWIAY
Northern Private Capital,2022,Workers,1-9 Employees,0013b00001ssKclAAE
Link2Feed Inc,2022,Customers; Workers; Governance,1-9 Employees,001C0000014wK9NIAU
Liquuid Home Ownership,2022,Workers,1-9 Employees,0013b00001p2cZlAAI
Looptworks,2022,Community,1-9 Employees,001C0000016YArTIAW
Luft Balloons,2022,Community,1-9 Employees,0013b00001p3gnCAAQ
MAP Real Estate,2022,Community,1-9 Employees,0013b00001p1bdAAAQ
MB Pension and Benefits Group Inc.,2022,Governance,1-9 Employees,0013b00001qEYesAAG
MINNA Goods LLC,2022,Community,1-9 Employees,0013b00001qFlkoAAC
Mallowfields,2022,Workers,1-9 Employees,0013b00001t8aOFAAY
Manoverboard Inc.,2022,Workers,1-9 Employees,001C000000xACgPIAW
Measure Meant,2022,Community,1-9 Employees,001C000001jewzlIAA
Metal & Wood Design Co.,2022,Environment,1-9 Employees,0013b00001o4EsYAAU
Miel Design Studio,2022,Community,1-9 Employees,0013b00001p3mcIAAQ
"Mightybytes, Inc.",2022,Workers; Governance,1-9 Employees,001C000000rp2mlIAA
